,artist,title,url,gender,division,medium,colors,dated,century,culture,description
3309,Washington Allston,"Study for ""Belshazzar's Feast""; verso: Studies for ""Angel Releasing Saint Peter from Prison""",https://www.harvardartmuseums.org/collections/object/232200,male,European and American Art,Oil on composition board,"Grey, Grey, Brown, Yellow, Brown, Yellow, Brown",1817,19th century,American,
3310,David Smith,Untitled,https://www.harvardartmuseums.org/collections/object/232255,male,Modern and Contemporary Art,Oil? and synthetic medium on canvas.,"Green, Red, Grey, Black, Blue, Brown, Brown, Black",1963,20th century,American,
3311,William Tolman Carlton,Schoolroom,https://www.harvardartmuseums.org/collections/object/232263,unknown,European and American Art,Oil on canvas,"Brown, Brown, Brown, Brown, Orange, Brown, Green, Yellow, Orange, Yellow",c. 1856,19th century,American,
3312,Frans Van Severdonck,Landscape with Sheep and Fowl,https://www.harvardartmuseums.org/collections/object/232264,male,European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",1863,19th century,Belgian,
3313,Robert David Gauley,"Pomegranates, Granada",https://www.harvardartmuseums.org/collections/object/232270,male,Modern and Contemporary Art,Oil on canvas,"Green, Green, Blue, Green, Orange, Blue, Green, Green, Blue, Red",1895,19th century,American,
3314,Isidore Patrois,Girls Drawing,https://www.harvardartmuseums.org/collections/object/232273,male,European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",1860,19th century,French,
3315,Cosmè Tura,The Adoration of the Magi,https://www.harvardartmuseums.org/collections/object/232327,unknown,European and American Art,Tempera on panel,"Red, Brown, Yellow, Yellow, Grey, Brown, Grey, Brown, Blue, Orange",c. 1480,15th century,Italian,"Visible surface, tondo"
3316,Earl Kerkam,Male Figure,https://www.harvardartmuseums.org/collections/object/232461,male,Modern and Contemporary Art,Oil on canvas,"Brown, Brown, Yellow, Brown, Yellow, Yellow, Black, Yellow",1954,20th century,American,
3317,Washington Allston,Landscape Composition,https://www.harvardartmuseums.org/collections/object/232499,male,European and American Art,Oil on canvas,"Brown, Brown, Yellow, Brown, Brown, Brown, Orange",c. 1829-1839,19th century,American,
3318,Adriaen van der Werff,"Portrait of the Artist's Wife, Margareta Rees",https://www.harvardartmuseums.org/collections/object/232653,unknown,European and American Art,Oil on canvas,"Grey, Brown, Brown, Brown, Brown, Grey, Orange, Orange",1698,17th century,Dutch,
3321,Jean-Baptiste Greuze,Fright,https://www.harvardartmuseums.org/collections/object/232684,male,European and American Art,Oil on panel,"Red, Yellow, Brown, Brown, Brown, Brown, Orange, Orange",c. 1800,18th century,French,
3322,Denman Waldo Ross,"Cholula de Rivadavia, Mexico",https://www.harvardartmuseums.org/collections/object/232751,male,European and American Art,Oil on canvasboard,,1900,20th century,American,
3323,Barbara Cushing,The Wallkill Valley,https://www.harvardartmuseums.org/collections/object/288105,female,Modern and Contemporary Art,Oil on canvas,"Green, Yellow, Grey, Blue, Grey, Green",1976-1981,20th century,American,
3329,"William Stone, John James Audubon, George Peter Alexander Healy","John James Audubon (1785-1851), after George Peter Alexander Healy",https://www.harvardartmuseums.org/collections/object/299476,"unknown, male, male",European and American Art,Oil on canvas,"Grey, Yellow, Yellow, Orange, Brown, Brown, Yellow, Brown, Yellow",19th century,19th century,American,"The original painting by George Peter Alexander Healy is in the collection of the  Museum of Natural History, Boston (now called the Museum of Science)."
3330,"Frederic Porter Vinton, William Lambert Richardson",William Lambert Richardson (1842-1932),https://www.harvardartmuseums.org/collections/object/299477,"male, unknown",European and American Art,Oil on canvas,"Grey, Grey, Black",1889,19th century,American,
3331,"Ellen Emmet Rand, William Watson Goodwin",William Watson Goodwin (1831-1912),https://www.harvardartmuseums.org/collections/object/299491,"female, unknown",Modern and Contemporary Art,Oil on canvas,Black,1907,20th century,American,
3332,"Joseph Rodefer DeCamp, Frederick Cheever Shattuck",Frederick Cheever Shattuck (1847-1929),https://www.harvardartmuseums.org/collections/object/299493,"unknown, unknown",European and American Art,Oil on canvas,"Black, Grey, Grey",1912,20th century,American,
3333,"Walter Florian, Thomas Simms Bettens",Thomas Simms Bettens (1851-1907),https://www.harvardartmuseums.org/collections/object/299707,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey, Grey",19th-20th century,19th-20th century,American,
3334,"Chester Harding, Josiah Parsons Cooke",Josiah Parsons Cooke (1787-1880),https://www.harvardartmuseums.org/collections/object/299711,"male, unknown",European and American Art,Oil on canvas,"Red, Brown, Red, Brown, Grey, Orange, Orange, Grey, Grey",c. 1823,19th century,American,
3335,"Ignaz Marcel Gaugengigl, Edward Hickling Bradford, Walfred Thulin",Edward Hickling Bradford (1848-1926),https://www.harvardartmuseums.org/collections/object/299712,"male, unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Violet",1924,20th century,American,
3336,"John Singleton Copley, Nicholas Boylston, John Welch",Nicholas Boylston (1716-1771),https://www.harvardartmuseums.org/collections/object/299800,"male, unknown, unknown",European and American Art,Oil on canvas,"Brown, Black, Black, Brown, Orange, Yellow, Blue, Blue, Brown, Blue",1773,18th century,American,"This is a copy after H90 (Copley, Nicholas Boylston, 1767)"
3337,Edouard Manet,Skating,https://www.harvardartmuseums.org/collections/object/299842,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Green, Green, Yellow",1877,19th century,French,
3338,Vincent van Gogh,Self-Portrait Dedicated to Paul Gauguin,https://www.harvardartmuseums.org/collections/object/299843,male,European and American Art,Oil on canvas,"Green, Green, Brown, Green, Green, Green, Green, Grey, Orange, Green",1888,19th century,Dutch,
3339,Nicolas Poussin,The Infant Bacchus Entrusted to the Nymphs of Nysa; The Death of Echo and Narcissus,https://www.harvardartmuseums.org/collections/object/299847,male,European and American Art,Oil on canvas,"Brown, Grey, Grey, Green, Grey, Green, Yellow",1657,17th century,French,
3340,"John Singleton Copley, Thomas Hubbard",Thomas Hubbard (1702-1773),https://www.harvardartmuseums.org/collections/object/299902,"male, unknown",European and American Art,Oil on canvas,"Brown, Grey, Violet, Brown, Grey, Grey, Brown, Grey, Brown, Blue",c. 1767,18th century,American,
3341,Ammi Phillips,Harriet Leavens (1802-1830),https://www.harvardartmuseums.org/collections/object/299939,unknown,European and American Art,Oil on canvas,"Brown, Yellow, Brown, Green, Brown, Grey, Grey, Red, Brown, Red",c. 1815,19th century,American,
3342,"John Singleton Copley, Mrs. Nathaniel (Margaret Gibbs) Appleton",Margaret Gibbs Appleton (Mrs. Nathaniel Appleton)  (1699-1771),https://www.harvardartmuseums.org/collections/object/299943,"male, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Brown, Yellow",1763,18th century,American,
