,artist,title,data_source,url
4360,Raphael,Procession of Pope Sylvester I,ISG,https://www.gardnermuseum.org/experience/collection/10777#object-details
4361,Romanino,Four People and a Performing Dog,ISG,https://www.gardnermuseum.org/experience/collection/10778#object-details
4362,Leonardo da Vinci,Studies of Figures and Horses,ISG,https://www.gardnermuseum.org/experience/collection/10779#object-details
4363,Paolo Veronese,Saint Roch in Glory,ISG,https://www.gardnermuseum.org/experience/collection/10780#object-details
4364,Giovanni di Francia,The Virgin and Child Enthroned,ISG,https://www.gardnermuseum.org/experience/collection/10781#object-details
4365,Bicci di Lorenzo,Virgin and Child with Saints Matthew and Francis,ISG,https://www.gardnermuseum.org/experience/collection/10782#object-details
4366,Andrea Mantegna,The Virgin and Child with Infant Saint John the Baptist and Six Female Saints,ISG,https://www.gardnermuseum.org/experience/collection/10783#object-details
4367,Cosmè Tura,Saint Lucy and Saint Eutychia at the Shrine of Saint Agatha,ISG,https://www.gardnermuseum.org/experience/collection/10784#object-details
4368,Giovanni di Francesco,The Dormition of the Virgin with a Nun,ISG,https://www.gardnermuseum.org/experience/collection/10785#object-details
4369,Masaccio,A Young Man in a Scarlet Turban,ISG,https://www.gardnermuseum.org/experience/collection/10786#object-details
4370,Francesco Pesellino,The Triumphs of Fame,ISG,https://www.gardnermuseum.org/experience/collection/10787#object-details
4371,Francesco Pesellino,The Triumphs of Love,ISG,https://www.gardnermuseum.org/experience/collection/10788#object-details
4372,Simone Martini,Virgin and Child with Saints,ISG,https://www.gardnermuseum.org/experience/collection/10789#object-details
4373,Michele Giambono,A Bishop Saint,ISG,https://www.gardnermuseum.org/experience/collection/10790#object-details
4374,Alesso di BenozzoAlesso di Benozzo,The Crucifixion,ISG,https://www.gardnermuseum.org/experience/collection/10792#object-details
4375,Niccolò di Pietro Gerini,Saint Anthony Abbot with Four Angels,ISG,https://www.gardnermuseum.org/experience/collection/10793#object-details
4376,Bartolommeo Bulgarini,Virgin Enthroned with Saints and Angels,ISG,https://www.gardnermuseum.org/experience/collection/10794#object-details
4377,Lorenzo Veneziano,The Virgin and Child and the Crucifixion with Six Saints,ISG,https://www.gardnermuseum.org/experience/collection/10795#object-details
4378,Andrea Vanni,The Crucifixion,ISG,https://www.gardnermuseum.org/experience/collection/10796#object-details
4379,Gentile da Fabriano,The Virgin of Humility,ISG,https://www.gardnermuseum.org/experience/collection/10797#object-details
4380,Piero del Pollaiuolo,A Woman in Green and Crimson,ISG,https://www.gardnermuseum.org/experience/collection/10798#object-details
4381,Piermatteo dAmelia,The Annunciation,ISG,https://www.gardnermuseum.org/experience/collection/10799#object-details
4382,Carlo Crivelli,Saint George Slaying the Dragon,ISG,https://www.gardnermuseum.org/experience/collection/10801#object-details
4383,"Italian, Northern Italy",The Virgin and Child in the Clouds,ISG,https://www.gardnermuseum.org/experience/collection/10802#object-details
4384,Liberale da Verona,The Nativity,ISG,https://www.gardnermuseum.org/experience/collection/10803#object-details
4385,Neri di Bicci,Saint Jerome in the Wilderness,ISG,https://www.gardnermuseum.org/experience/collection/10804#object-details
4386,Stefano dAntonio di Vanni,The Martyrdom of Saint Bartholomew,ISG,https://www.gardnermuseum.org/experience/collection/10805#object-details
4387,Giuliano da Rimini,Virgin and Child Enthroned with Saints,ISG,https://www.gardnermuseum.org/experience/collection/10806#object-details
4388,"Italian, Northern Italy",The Virgin and Child with an Apple,ISG,https://www.gardnermuseum.org/experience/collection/10807#object-details
4389,"Italian, Liguria",Saint Thomas Recieves the Virgin's Girdle,ISG,https://www.gardnermuseum.org/experience/collection/10808#object-details
4390,Andreas Martin Andersen,Surge of the Sea,ISG,https://www.gardnermuseum.org/experience/collection/10809#object-details
4391,Andreas Martin Andersen,George Proctor,ISG,https://www.gardnermuseum.org/experience/collection/10810#object-details
4392,Joseph Blackburn,A Lady of the Russell Family,ISG,https://www.gardnermuseum.org/experience/collection/10811#object-details
4393,John Appleton Brown,Garden of Poppies,ISG,https://www.gardnermuseum.org/experience/collection/10812#object-details
4394,Dennis Miller Bunker,Marble Torso of a Woman,ISG,https://www.gardnermuseum.org/experience/collection/10813#object-details
4395,Dennis Miller Bunker,Chrysanthemums,ISG,https://www.gardnermuseum.org/experience/collection/10814#object-details
4396,Dennis Miller Bunker,The Brook at Medfield,ISG,https://www.gardnermuseum.org/experience/collection/10815#object-details
4397,Dennis Miller Bunker,Moonrise,ISG,https://www.gardnermuseum.org/experience/collection/10816#object-details
4398,Sylvia Curtis Steinert,Villa Sylvia,ISG,https://www.gardnermuseum.org/experience/collection/10817#object-details
4399,Howard Gardiner Cushing,Among the Rocks,ISG,https://www.gardnermuseum.org/experience/collection/10818#object-details
4400,Thomas Wilmer Dewing,Lady in Yellow,ISG,https://www.gardnermuseum.org/experience/collection/10819#object-details
4401,Ignaz Marcel Gaugengigl,Self-Portrait,ISG,https://www.gardnermuseum.org/experience/collection/10820#object-details
4402,George Hawley Hallowell,The Nativity (recto) and Sketch of a Stained Glass Window (verso),ISG,https://www.gardnermuseum.org/experience/collection/10821#object-details
4403,George Hawley Hallowell,The Assumption of the Virgin,ISG,https://www.gardnermuseum.org/experience/collection/10822#object-details
4404,George Hawley Hallowell,The Marriage at Cana,ISG,https://www.gardnermuseum.org/experience/collection/10823#object-details
4405,Childe Hassam,A New York Blizzard,ISG,https://www.gardnermuseum.org/experience/collection/10824#object-details
4406,"William James, Jr.",Henry James,ISG,https://www.gardnermuseum.org/experience/collection/10825#object-details
4407,Louis Kronberg,The Pirouette,ISG,https://www.gardnermuseum.org/experience/collection/10826#object-details
4408,Louis Kronberg,At the Window,ISG,https://www.gardnermuseum.org/experience/collection/10827#object-details
4409,Louis Kronberg,La Gitana,ISG,https://www.gardnermuseum.org/experience/collection/10828#object-details
4410,Louis Kronberg,Back to Back,ISG,https://www.gardnermuseum.org/experience/collection/10829#object-details
4411,Louis Kronberg,The Grand Canal,ISG,https://www.gardnermuseum.org/experience/collection/10830#object-details
4412,Louis Kronberg,Souvenir of Faust,ISG,https://www.gardnermuseum.org/experience/collection/10831#object-details
4413,Louis Kronberg,In the Dressing Room,ISG,https://www.gardnermuseum.org/experience/collection/10832#object-details
4414,Louis Kronberg,Fan Design: Coppelia,ISG,https://www.gardnermuseum.org/experience/collection/10833#object-details
4415,Louis Kronberg,Fan Design: La Maledetta,ISG,https://www.gardnermuseum.org/experience/collection/10834#object-details
4416,John La Farge,The Old Barn Under Snow,ISG,https://www.gardnermuseum.org/experience/collection/10835#object-details
4417,John La Farge,The Spirit of the Water Lily,ISG,https://www.gardnermuseum.org/experience/collection/10836#object-details
4418,John La Farge,The Recording Angel,ISG,https://www.gardnermuseum.org/experience/collection/10837#object-details
4419,John La Farge,Siva Dance at Night,ISG,https://www.gardnermuseum.org/experience/collection/10838#object-details
4420,Francis McComas,Oaks of Monterey,ISG,https://www.gardnermuseum.org/experience/collection/10839#object-details
4421,Dodge MacKnight,A Little Girl of Douarnenez,ISG,https://www.gardnermuseum.org/experience/collection/10840#object-details
4422,Dodge MacKnight,The Bay,ISG,https://www.gardnermuseum.org/experience/collection/10841#object-details
4423,Dodge MacKnight,Almond Trees,ISG,https://www.gardnermuseum.org/experience/collection/10842#object-details
4424,Dodge MacKnight,The Stream,ISG,https://www.gardnermuseum.org/experience/collection/10843#object-details
4425,Dodge MacKnight,A Road in Winter,ISG,https://www.gardnermuseum.org/experience/collection/10844#object-details
4426,Dodge MacKnight,A Lane Through an Orange Grove,ISG,https://www.gardnermuseum.org/experience/collection/10845#object-details
4427,Dodge MacKnight,The Road to Córdoba,ISG,https://www.gardnermuseum.org/experience/collection/10846#object-details
4428,Dodge MacKnight,A Woman in a Lane,ISG,https://www.gardnermuseum.org/experience/collection/10847#object-details
4429,Dodge MacKnight,The Basin,ISG,https://www.gardnermuseum.org/experience/collection/10848#object-details
4430,Dodge MacKnight,The Pool,ISG,https://www.gardnermuseum.org/experience/collection/10849#object-details
4431,Dodge MacKnight,Towering Castles,ISG,https://www.gardnermuseum.org/experience/collection/10850#object-details
4432,E. Newell Marshall,The Parrot,ISG,https://www.gardnermuseum.org/experience/collection/10851#object-details
4433,Martin Mower,The Croquet Party,ISG,https://www.gardnermuseum.org/experience/collection/10852#object-details
4434,Martin Mower,Charleston,ISG,https://www.gardnermuseum.org/experience/collection/10853#object-details
4435,Martin Mower,The Bird House,ISG,https://www.gardnermuseum.org/experience/collection/10854#object-details
4436,Martin Mower,The Meet,ISG,https://www.gardnermuseum.org/experience/collection/10855#object-details
4437,Martin Mower,The Fountain,ISG,https://www.gardnermuseum.org/experience/collection/10856#object-details
4438,Martin Mower,The Long Gallery,ISG,https://www.gardnermuseum.org/experience/collection/10857#object-details
4439,Arthur Pope,Nasturtiums at Fenway Court,ISG,https://www.gardnermuseum.org/experience/collection/10858#object-details
4440,John Briggs Potter,Matthew Stewart Prichard,ISG,https://www.gardnermuseum.org/experience/collection/10859#object-details
4441,Elizabeth Wentworth Roberts,The River at Concord,ISG,https://www.gardnermuseum.org/experience/collection/10860#object-details
4442,Denman Waldo Ross,John Briggs Potter,ISG,https://www.gardnermuseum.org/experience/collection/10861#object-details
4443,Denman Waldo Ross,The Beach,ISG,https://www.gardnermuseum.org/experience/collection/10862#object-details
4444,Denman Waldo Ross,Study of John Feeney,ISG,https://www.gardnermuseum.org/experience/collection/10863#object-details
4445,Denman Waldo Ross,Peonies,ISG,https://www.gardnermuseum.org/experience/collection/10864#object-details
4446,Denman Waldo Ross,A View of Popocatépetl from Cuautla,ISG,https://www.gardnermuseum.org/experience/collection/10865#object-details
4447,John Singer Sargent,Isabella Stewart Gardner,ISG,https://www.gardnermuseum.org/experience/collection/10867#object-details
4448,John Singer Sargent,Miss Violet Sargent,ISG,https://www.gardnermuseum.org/experience/collection/10868#object-details
4449,John Singer Sargent,Astarte,ISG,https://www.gardnermuseum.org/experience/collection/10869#object-details
4450,John Singer Sargent,Charles Martin Loeffler,ISG,https://www.gardnermuseum.org/experience/collection/10870#object-details
4451,John Singer Sargent,Yoho Falls,ISG,https://www.gardnermuseum.org/experience/collection/10871#object-details
4452,John Singer Sargent,A Spanish Madonna,ISG,https://www.gardnermuseum.org/experience/collection/10872#object-details
4453,John Singer Sargent,Incensing the Veil,ISG,https://www.gardnermuseum.org/experience/collection/10873#object-details
4454,John Singer Sargent,Bus Horses in Jerusalem,ISG,https://www.gardnermuseum.org/experience/collection/10874#object-details
4455,John Singer Sargent,Mrs. Gardner at Fenway Court,ISG,https://www.gardnermuseum.org/experience/collection/10875#object-details
4456,John Singer Sargent,The Terrace at La Granja,ISG,https://www.gardnermuseum.org/experience/collection/10876#object-details
4457,John Singer Sargent,San Giuseppe di Castello,ISG,https://www.gardnermuseum.org/experience/collection/10877#object-details
4458,John Singer Sargent,Ponte della Canonica,ISG,https://www.gardnermuseum.org/experience/collection/10878#object-details
4459,John Singer Sargent,Rio di San Salvatore,ISG,https://www.gardnermuseum.org/experience/collection/10879#object-details
4460,John Singer Sargent,Santa Maria della Salute,ISG,https://www.gardnermuseum.org/experience/collection/10880#object-details
4461,John Singer Sargent,Santa Maria dei Gesuati,ISG,https://www.gardnermuseum.org/experience/collection/10881#object-details
4462,John Singer Sargent,A Tent in the Rockies,ISG,https://www.gardnermuseum.org/experience/collection/10882#object-details
4463,John Singer Sargent,Mrs. Gardner in White,ISG,https://www.gardnermuseum.org/experience/collection/10883#object-details
4464,Sarah Choate Sears,Gladioli,ISG,https://www.gardnermuseum.org/experience/collection/10884#object-details
4465,Caleb Arnold Slade,Ponte della Canonica,ISG,https://www.gardnermuseum.org/experience/collection/10885#object-details
4466,Caleb Arnold Slade,The Shore,ISG,https://www.gardnermuseum.org/experience/collection/10886#object-details
4467,Caleb Arnold Slade,A Gateway in Tunis,ISG,https://www.gardnermuseum.org/experience/collection/10887#object-details
4468,Caleb Arnold Slade,A Girl of Nabeul,ISG,https://www.gardnermuseum.org/experience/collection/10888#object-details
4469,Francis Hopkinson Smith,The Grand Canal with Santa Maria della Salute,ISG,https://www.gardnermuseum.org/experience/collection/10889#object-details
4470,Joseph Lindon Smith,Apartments of the Chief Priest,ISG,https://www.gardnermuseum.org/experience/collection/10890#object-details
4471,Joseph Lindon Smith,A Theater in Mukden,ISG,https://www.gardnermuseum.org/experience/collection/10891#object-details
4472,Joseph Lindon Smith,Bust of Akhenaten,ISG,https://www.gardnermuseum.org/experience/collection/10892#object-details
4473,Joseph Lindon Smith,Adam and Eve,ISG,https://www.gardnermuseum.org/experience/collection/10893#object-details
4474,Joseph Lindon Smith,Head of a Putti,ISG,https://www.gardnermuseum.org/experience/collection/10894#object-details
4475,Joseph Lindon Smith,Gaston de Foix,ISG,https://www.gardnermuseum.org/experience/collection/10895#object-details
4476,Thomas Sully,Isabella Tod Stewart,ISG,https://www.gardnermuseum.org/experience/collection/10896#object-details
4477,Paul H. Tilton,Venice,ISG,https://www.gardnermuseum.org/experience/collection/10897#object-details
4478,John Henry Twachtman,The Lagoon,ISG,https://www.gardnermuseum.org/experience/collection/10898#object-details
4479,James McNeill Whistler,Harmony in Blue and Silver: Trouville,ISG,https://www.gardnermuseum.org/experience/collection/10899#object-details
4480,James McNeill Whistler,Nocturne,ISG,https://www.gardnermuseum.org/experience/collection/10900#object-details
