,objectid,artist,title,url,stolen,painting
774,11723,Japanese,Roof Tile: Dove,https://www.gardnermuseum.org/experience/collection/11723#object-details,False,True
775,11725,Cosmè Tura,The Circumcision,https://www.gardnermuseum.org/experience/collection/11725#object-details,False,True
778,11733,Studio of                              Cima da Conegliano,Virgin and Child before a Curtained Landscape,https://www.gardnermuseum.org/experience/collection/11733#object-details,False,True
779,11734,Giovanni Maria Falconetto,Cassone Front: Ancient Procession and Battle,https://www.gardnermuseum.org/experience/collection/11734#object-details,False,True
781,11737,"Italian, Rome",Window Seat or Upholstered Bench (Divano a panchetta),https://www.gardnermuseum.org/experience/collection/11737#object-details,False,True
783,11743,"Italian, Venice",The Adoration of the Statue of Nebuchadnezzar,https://www.gardnermuseum.org/experience/collection/11743#object-details,False,True
784,11745,Francesco Pesellino,Virgin and Child with a Swallow,https://www.gardnermuseum.org/experience/collection/11745#object-details,False,True
791,11761,"Italian, Urbino",Plate: The Nativity,https://www.gardnermuseum.org/experience/collection/11761#object-details,False,True
798,11774,Raphael,Lamentation over the Dead Christ,https://www.gardnermuseum.org/experience/collection/11774#object-details,False,True
799,11776,Raphael,Tommaso Inghirami,https://www.gardnermuseum.org/experience/collection/11776#object-details,False,True
801,11780,Francesco Francia,Virgin and Child on a Parapet with a Goldfinch,https://www.gardnermuseum.org/experience/collection/11780#object-details,False,True
804,11783,Etruscan,Cinerarium or Grave Altar,https://www.gardnermuseum.org/experience/collection/11783#object-details,False,True
808,11789,Jacopo Mosca Cavelli,Guitar (Chitarra Battente),https://www.gardnermuseum.org/experience/collection/11789#object-details,False,True
812,11793,"Italian, Venice",Corner Console (Console ad angolo),https://www.gardnermuseum.org/experience/collection/11793#object-details,False,True
813,11794,Giovanni Bellini,The Virgin with the Sleeping Child on a Parapet,https://www.gardnermuseum.org/experience/collection/11794#object-details,False,True
819,11801,"Imitator of                              Greek, Myrina",Seated Woman,https://www.gardnermuseum.org/experience/collection/11801#object-details,False,True
821,11804,"Italian, Northern Italy",Cassone with Three Painted Scenes,https://www.gardnermuseum.org/experience/collection/11804#object-details,False,True
822,11805,Italian,Cope with Pomegranate Motifs and Fringe,https://www.gardnermuseum.org/experience/collection/11805#object-details,False,True
824,11809,Roman,Fragment of a Fresco,https://www.gardnermuseum.org/experience/collection/11809#object-details,False,True
827,11812,Roman,Bowl with Lions,https://www.gardnermuseum.org/experience/collection/11812#object-details,False,True
830,11819,Italian,Cabinet and Stand (Stipo con supporto a tavolo),https://www.gardnermuseum.org/experience/collection/11819#object-details,False,True
832,11821,"Italian, Rome",Column (Colonna),https://www.gardnermuseum.org/experience/collection/11821#object-details,False,True
838,11829,Roman,Small Head and Torso of a Silenus with Wineskin,https://www.gardnermuseum.org/experience/collection/11829#object-details,False,True
839,11833,Japanese,The Vinegar Tasters,https://www.gardnermuseum.org/experience/collection/11833#object-details,False,True
849,11851,"Spanish, Catalonian, Catalonia",Torchère,https://www.gardnermuseum.org/experience/collection/11851#object-details,False,True
853,11857,Kano Tsunenobu,Scenes from the Tale of Genji,https://www.gardnermuseum.org/experience/collection/11857#object-details,False,True
857,11861,"Spanish, Castilla y León",Sacristy Bench,https://www.gardnermuseum.org/experience/collection/11861#object-details,False,True
858,11862,Yü Ta of Shih-hsi,Wild Geese,https://www.gardnermuseum.org/experience/collection/11862#object-details,False,True
860,11865,Italian,Molding with Carved Leaf Motif,https://www.gardnermuseum.org/experience/collection/11865#object-details,False,True
861,11866,Hans Holbein the Younger,Sir William Butts,https://www.gardnermuseum.org/experience/collection/11866#object-details,False,True
862,11867,Hans Holbein the Younger,Lady Margaret (Bacon) Butts,https://www.gardnermuseum.org/experience/collection/11867#object-details,False,True
863,11874,English,A Man and Woman in a Garden,https://www.gardnermuseum.org/experience/collection/11874#object-details,False,True
864,11875,"American, Philadelphia",Side Chair,https://www.gardnermuseum.org/experience/collection/11875#object-details,False,True
884,11906,Peter Paul Rubens,Three Men in Profile,https://www.gardnermuseum.org/experience/collection/11906#object-details,False,True
891,11918,Francesca Alexander,Decorating a Shrine,https://www.gardnermuseum.org/experience/collection/11918#object-details,False,True
896,11927,Copy after                              Rembrandt van Rijn,The Annunciation,https://www.gardnermuseum.org/experience/collection/11927#object-details,False,True
897,11928,Antonis Mor and Workshop,Mary Tudor,https://www.gardnermuseum.org/experience/collection/11928#object-details,False,True
900,11931,Workshop of                              Gerard ter Borch the Younger,The Music Lesson,https://www.gardnermuseum.org/experience/collection/11931#object-details,False,True
901,11932,Justus Suttermans,Alfonso IV d'Este,https://www.gardnermuseum.org/experience/collection/11932#object-details,False,True
905,11957,Italian,Escutcheon,https://www.gardnermuseum.org/experience/collection/11957#object-details,False,True
907,11959,"Flemish, Flanders",Proverbs,https://www.gardnermuseum.org/experience/collection/11959#object-details,False,True
910,11963,"Netherlandish, Southern Netherlands",Amazons Preparing for a Joust,https://www.gardnermuseum.org/experience/collection/11963#object-details,False,True
913,11967,"Italian, Siena",Bracket,https://www.gardnermuseum.org/experience/collection/11967#object-details,False,True
915,11970,Domenico Tintoretto,Portrait of a Lady in Black,https://www.gardnermuseum.org/experience/collection/11970#object-details,False,True
917,11972,"Italian, Venice",Door and Frame (Porta e cornice),https://www.gardnermuseum.org/experience/collection/11972#object-details,False,True
918,11973,Scottish,Mary Brough Stewart (?),https://www.gardnermuseum.org/experience/collection/11973#object-details,False,True
928,11984,Martin Mower,Isabella Stewart Gardner,https://www.gardnermuseum.org/experience/collection/11984#object-details,False,True
929,11985,William Henry Barnard,Winter,https://www.gardnermuseum.org/experience/collection/11985#object-details,False,True
930,11986,William Henry Barnard,Summer,https://www.gardnermuseum.org/experience/collection/11986#object-details,False,True
935,11995,Designed by                              Rogier van der Weyden,The Fulfillment of the Curse on Ahab,https://www.gardnermuseum.org/experience/collection/11995#object-details,False,True
